TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
ELK3,1.9204,7,0.7282169030272276,0.40221679504039076,0.7389376605569116,0.051004419446812305
SMAD1,1.9159,7,0.7679325832849123,0.4019036883962678,0.639559664454945,0.1064604925982881
KLF2,1.9152,6,0.6207660795872536,0.4468031811635043,0.7903071789891436,0.057281945177272975
NR3C2,1.9133,6,0.6407818134334107,0.38631097751894294,0.7860236057766441,0.1001929406754433
RARA,1.9125,6,0.7575182876469408,0.3667731229256685,0.7056988451547975,0.08248250174751952
SPI1,1.9125,5,0.6646879040550233,0.3823658338029933,0.8119748966911218,0.05349291638434549
CREB3L1,1.9087,5,0.9124315197511259,0.3784833114158682,0.5154738946917072,0.1022740943480448
TFAP2C,1.9076,7,0.7777413740473942,0.4050973761663223,0.610494758396937,0.11431330895416103
MEF2C,1.9074,6,0.6006180717442677,0.38631097751894294,0.8275015609993863,0.09293593157513061
NFIA,1.9074,5,0.5737831890412189,0.3727847704928298,0.8672685827174104,0.0935407256956131
ESR1,1.9072,6,0.738377042081296,0.3762915649070073,0.6775249145944682,0.11504767299321599
BTG2,1.905,5,0.5996713524091628,0.36170079529087606,0.8246317073074027,0.11904495214722274
JUND,1.9029,6,0.6898189814371868,0.4360949339344981,0.7225895060181253,0.054436216269539206
VENTX,1.8972,6,0.6234101272352486,0.36589642432212416,0.678687785907385,0.22921866356461829
TP63,1.8902,6,0.6915895311131901,0.354561963804872,0.7889289924608055,0.055069643412541544
PITX2,1.8901,6,0.7679686392961301,0.3733483624522512,0.6780442257960547,0.07076199095645792
WT1,1.8897,6,0.800221596020278,0.39701922474794915,0.6078015406202801,0.08466412883479815
HOXB2,1.8894,7,0.7432338565529697,0.4612687081219864,0.652279212593449,0.03257122610406872
NFE2L1,1.889,7,0.7120423007933284,0.4461143465464337,0.6203449929477858,0.1104581799274894
HOXB7,1.8884,5,0.6519658632008415,0.35330953722838,0.6868290369347934,0.19629557797950287
GATA4,1.887,7,0.7781067378876521,0.41762164193124174,0.6329469834196264,0.058352377614276425
FOXC1,1.8829,6,0.6828856690334792,0.3776066128123239,0.7287104118297817,0.09369122471938889
MKX,1.8818,7,0.8056667654679102,0.42219299893543744,0.5945730931925443,0.05932886899763575
ETS2,1.8818,5,0.6724780026085564,0.33546245851336964,0.8126156873218555,0.061194526420494846
TEAD4,1.8815,6,0.7655938692186938,0.34861293756653516,0.7036230235722956,0.06363206844929756
NRG1,1.8806,6,0.8482976115520544,0.400463397833302,0.5702185072764919,0.061642703563045395
EPAS1,1.8787,7,0.6873482002169042,0.40459640553572546,0.679277480177228,0.10743669031361627
NFKB,1.8756,4,0.7361722050433344,0.38324253240653766,0.6849387149402175,0.07122223341501614
TCF21,1.8736,7,0.6925094125995448,0.4407289122675183,0.6307172521238611,0.10964316701326243
FHL2,1.8734,6,0.7071647196007573,0.357505166259628,0.7400210391012185,0.06872023164285031
GLIS3,1.8704,7,0.8479503205983826,0.43390318742563716,0.5110052908121729,0.07757028932641807
KLF9,1.8683,6,0.6314779317141744,0.3880643747260317,0.7766834841926287,0.07211342864608412
PPARG,1.8665,6,0.5199833185603043,0.4144279541611873,0.7686969414676678,0.1633457397820195
VSX1,1.8651,2,0.4910046037755217,0.3710939946145657,0.5029769166955469,0.5
PPARA,1.865,6,0.718003958088512,0.36332894984031555,0.6719239090273397,0.11178651365476891
SP1,1.8626,6,0.6678862200645564,0.38430709499655585,0.7019218510963794,0.10843988523484499
NFATC2,1.862,6,0.826882814708696,0.2881207339219738,0.6686832514690588,0.07829686064668287
THRB,1.8579,6,0.7247633664619275,0.3585697288496462,0.6336783616474233,0.14085776132045857
FOXC2,1.8558,6,0.8091245945084193,0.32199887281608114,0.6429707249288482,0.0817285437412067
HTATIP2,1.8555,6,0.7368969733106039,0.35049157743127307,0.6947955143835459,0.07332398669261622
REL,1.8538,6,0.6640548861647769,0.39802116600914267,0.7291735388343161,0.06255576888335293
NR4A3,1.8516,7,0.6248595886429342,0.4419187175151857,0.725227247428032,0.059576583824135436
PGR,1.851,7,0.6953391630964938,0.40816582127872747,0.6840535400028636,0.063456251658017
ELK4,1.8504,6,0.6619494936644246,0.3686517627904064,0.730999910963757,0.0888351901357952
PPARD,1.8487,6,0.7989381683732459,0.27879015592710876,0.711589241201503,0.059398487016071685
FOSL2,1.8479,6,0.777679292435548,0.3333333333333333,0.6577623948907148,0.07916206664647185
MEF2A,1.8476,6,0.7656256342182124,0.36101196067380553,0.653551900819149,0.06742109256846328
PAX3,1.8427,6,0.7784868051263418,0.3609493393449809,0.6644319933124869,0.03882052153448198
NUPR1,1.8416,5,0.6418744998539504,0.4060366960986912,0.6355544144771508,0.15810469472514882
USF1,1.833,6,0.7404752994819316,0.3969566034191246,0.6282551060164112,0.06730369000969712
HDGF,1.8322,6,0.6829598587524615,0.43177406224560083,0.48810996846943894,0.2293993099097272
AP1,1.8319,4,0.7052344390143903,0.38324253240653766,0.6859018909082791,0.05749920031936125
KLF10,1.8316,6,0.802918264662807,0.34253866867054916,0.6303502863795092,0.05581056473935894
ELF3,1.8289,6,0.7548088625622886,0.3193687770054481,0.6709962095496025,0.08372266418005922
PRDM16,1.8254,6,0.6141670919253094,0.43045901434028433,0.6920602552240849,0.08876352656762487
NFAT5,1.8243,6,0.7838778539693942,0.3896925292754712,0.583604148643317,0.06715873796218128
MYOCD,1.823,5,0.7984309811325659,0.3698415680380738,0.5901443773968441,0.0645902355706797
NKX3.1,1.8212,7,0.7996643855155434,0.4010269897927234,0.5548465263564719,0.06566224384435973
SCX,1.8191,6,0.702841488238455,0.4251362013901935,0.6298562168246922,0.06130059354904965
CEBPZ,1.819,5,0.6547876117122404,0.49339344980900496,0.5491034012777342,0.12168682870370225
TCF7,1.8182,5,0.6555446137901069,0.35882021416494453,0.6917476918663769,0.11204732280382582
PLAGL1,1.8153,6,0.7896981591144174,0.3427891539858476,0.6300136590160179,0.05283751788726525
SRSF2,1.8135,4,0.555631863190511,0.39676873943265073,0.3820547706648329,0.4790193743627715
BMAL2,1.8109,5,0.6754615997294762,0.4457386185734861,0.5905055928541738,0.09920826241938462
MEOX2,1.8068,6,0.7386575925825434,0.36533283236270275,0.5966633877024832,0.10618820936408732
ZNF335,1.8054,6,0.6726245994911835,0.5173774187488259,0.513257158822164,0.10212266602463718
ATF6,1.8029,6,0.7870509151603002,0.33370906130628086,0.5527672857445102,0.1293957516191001
HIC1,1.802,6,0.61414792530882,0.37685515686642873,0.7332082431836626,0.07776244948364591
